dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,Female,1.0522,0.9584,0.9800,1.2536,0.7464,0.9800,0.8400,0.7700,0.8477,0.6738
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,Male,0.9504,0.9584,1.0200,0.7464,0.7464,0.9800,0.8400,0.7700,0.8477,0.6738
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,Female,1.0153,0.9874,1.0100,1.1100,0.8900,0.9900,0.8367,0.7900,0.8627,0.6881
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,Male,0.9849,0.9874,0.9900,0.8900,0.8900,0.9900,0.8367,0.7900,0.8627,0.6881
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,Female,0.9274,0.9495,0.9100,1.1388,0.8612,0.9100,0.7800,0.7600,0.8261,0.7238
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,Male,1.0783,0.9495,1.0900,0.8612,0.8612,0.9100,0.7800,0.7600,0.8261,0.7238
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,Female,0.8133,0.8593,0.9000,0.8230,0.8230,0.9000,0.6367,0.6700,0.7660,0.6024
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,Male,1.2296,0.8593,1.1000,1.1770,0.8230,0.9000,0.6367,0.6700,0.7660,0.6024
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,Female,0.9937,0.9949,1.0300,1.0191,0.9809,0.9700,0.7267,0.7900,0.8609,0.6976
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,Male,1.0064,0.9949,0.9700,0.9809,0.9809,0.9700,0.7267,0.7900,0.8609,0.6976
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,Female,0.8826,0.9014,1.0900,0.5742,0.5742,0.9100,0.8433,0.7300,0.8212,0.6262
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,Male,1.1330,0.9014,0.9100,1.4258,0.5742,0.9100,0.8433,0.7300,0.8212,0.6262
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,SVC,Female,1.0153,0.9874,1.0700,0.9522,0.9522,0.9300,0.8500,0.7300,0.8235,0.6167
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,SVC,Male,0.9849,0.9874,0.9300,1.0478,0.9522,0.9300,0.8500,0.7300,0.8235,0.6167
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,GaussianNB,Female,1.0623,0.9603,1.1800,0.8517,0.8517,0.8200,0.7767,0.7300,0.8000,0.7024
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,GaussianNB,Male,0.9413,0.9603,0.8200,1.1483,0.8517,0.8200,0.7767,0.7300,0.8000,0.7024
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,Female,0.8729,0.9060,1.0000,0.7847,0.7847,1.0000,0.6667,0.7100,0.7943,0.6500
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,Male,1.1457,0.9060,1.0000,1.2153,0.7847,1.0000,0.6667,0.7100,0.7943,0.6500
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,Female,0.9308,0.9448,1.1600,0.5885,0.5885,0.8400,0.7600,0.7600,0.8378,0.6762
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,Male,1.0744,0.9448,0.8400,1.4115,0.5885,0.8400,0.7600,0.7600,0.8378,0.6762
German Credit,Attribute9,NA,NA,Validation,0,False,Test,XGBClassifier,Female,1.1129,0.9149,1.0300,1.3206,0.6794,0.9700,0.6733,0.8200,0.8784,0.7476
German Credit,Attribute9,NA,NA,Validation,0,False,Test,XGBClassifier,Male,0.8986,0.9149,0.9700,0.6794,0.6794,0.9700,0.6733,0.8200,0.8784,0.7476
German Credit,Attribute9,NA,NA,Test,0,False,Test,XGBClassifier,Female,0.8729,0.9060,1.0600,0.7081,0.7081,0.9400,0.6867,0.7900,0.8511,0.7452
German Credit,Attribute9,NA,NA,Test,0,False,Test,XGBClassifier,Male,1.1457,0.9060,0.9400,1.2919,0.7081,0.9400,0.6867,0.7900,0.8511,0.7452
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,LogisticRegression,Female,1.1526,0.8761,1.0100,1.4354,0.5646,0.9900,0.8767,0.7700,0.8516,0.6548
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,LogisticRegression,Male,0.8676,0.8761,0.9900,0.5646,0.5646,0.9900,0.8767,0.7700,0.8516,0.6548
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,SVC,Female,1.0153,0.9874,1.0100,1.1100,0.8900,0.9900,0.8367,0.7900,0.8627,0.6881
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,SVC,Male,0.9849,0.9874,0.9900,0.8900,0.8900,0.9900,0.8367,0.7900,0.8627,0.6881
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,GaussianNB,Female,0.9738,0.9818,0.9600,1.1388,0.8612,0.9600,0.7767,0.7700,0.8345,0.7310
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,GaussianNB,Male,1.0269,0.9818,1.0400,0.8612,0.8612,0.9600,0.7767,0.7700,0.8345,0.7310
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,0.8051,0.8672,1.0200,0.6699,0.6699,0.9800,0.6200,0.7600,0.8209,0.7429
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,1.2421,0.8672,0.9800,1.3301,0.6699,0.9800,0.6200,0.7600,0.8209,0.7429
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,RandomForestClassifier,Female,0.9142,0.9303,0.9800,0.9282,0.9282,0.9800,0.7433,0.7900,0.8591,0.7071
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,RandomForestClassifier,Male,1.0939,0.9303,1.0200,1.0718,0.9282,0.9800,0.7433,0.7900,0.8591,0.7071
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,LogisticRegression,Female,0.9937,0.9949,1.1100,0.8086,0.8086,0.8900,0.8633,0.7100,0.8079,0.6024
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,LogisticRegression,Male,1.0064,0.9949,0.8900,1.1914,0.8086,0.8900,0.8633,0.7100,0.8079,0.6024
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,SVC,Female,1.0117,0.9906,1.0900,0.9139,0.9139,0.9100,0.8200,0.7400,0.8267,0.6429
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,SVC,Male,0.9884,0.9906,0.9100,1.0861,0.9139,0.9100,0.8200,0.7400,0.8267,0.6429
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,GaussianNB,Female,1.0870,0.9458,1.2000,0.8517,0.8517,0.8000,0.7533,0.7200,0.7910,0.6952
