dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Male,DisparateImpactRemover,Test,1,False,Surrogate,DecisionTreeClassifier,Male,1.7625,0.6802,1.3000,1.3062,0.6938,0.7000,0.6400,0.6600,0.7463,0.6238
German Credit,Attribute9,Male,DisparateImpactRemover,Test,1,False,Surrogate,RandomForestClassifier,Female,0.7675,0.8046,0.7600,0.9665,0.9665,0.7600,0.7867,0.7400,0.8243,0.6524
German Credit,Attribute9,Male,DisparateImpactRemover,Test,1,False,Surrogate,RandomForestClassifier,Male,1.3029,0.8046,1.2400,1.0335,0.9665,0.7600,0.7867,0.7400,0.8243,0.6524
German Credit,Attribute9,Male,DisparateImpactRemover,Validation,1,False,Test,XGBClassifier,Female,1.0334,0.9729,1.0400,1.1244,0.8756,0.9600,0.8000,0.8400,0.8947,0.7524
German Credit,Attribute9,Male,DisparateImpactRemover,Validation,1,False,Test,XGBClassifier,Male,0.9677,0.9729,0.9600,0.8756,0.8756,0.9600,0.8000,0.8400,0.8947,0.7524
German Credit,Attribute9,Male,DisparateImpactRemover,Test,1,False,Test,XGBClassifier,Female,0.8244,0.8626,0.8700,0.9282,0.9282,0.8700,0.7300,0.7400,0.8194,0.6714
German Credit,Attribute9,Male,DisparateImpactRemover,Test,1,False,Test,XGBClassifier,Male,1.2130,0.8626,1.1300,1.0718,0.9282,0.8700,0.7300,0.7400,0.8194,0.6714
German Credit,Attribute9,Male,DisparateImpactRemover,Validation,2,False,Surrogate,LogisticRegression,Female,1.0186,0.9841,1.0400,1.0574,0.9426,0.9600,0.8367,0.8000,0.8718,0.6857
German Credit,Attribute9,Male,DisparateImpactRemover,Validation,2,False,Surrogate,LogisticRegression,Male,0.9817,0.9841,0.9600,0.9426,0.9426,0.9600,0.8367,0.8000,0.8718,0.6857
German Credit,Attribute9,Male,DisparateImpactRemover,Validation,2,False,Surrogate,SVC,Female,0.9852,0.9869,1.0400,0.9522,0.9522,0.9600,0.8867,0.7800,0.8608,0.6524
German Credit,Attribute9,Male,DisparateImpactRemover,Validation,2,False,Surrogate,SVC,Male,1.0150,0.9869,0.9600,1.0478,0.9522,0.9600,0.8867,0.7800,0.8608,0.6524
German Credit,Attribute9,Male,DisparateImpactRemover,Validation,2,False,Surrogate,GaussianNB,Female,1.0448,0.9682,0.9700,1.2823,0.7177,0.9700,0.7733,0.8000,0.8592,0.7524
German Credit,Attribute9,Male,DisparateImpactRemover,Validation,2,False,Surrogate,GaussianNB,Male,0.9572,0.9682,1.0300,0.7177,0.7177,0.9700,0.7733,0.8000,0.8592,0.7524
German Credit,Attribute9,Male,DisparateImpactRemover,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,0.7559,0.8125,0.8900,0.7464,0.7464,0.8900,0.6767,0.7500,0.8227,0.6976
German Credit,Attribute9,Male,DisparateImpactRemover,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,1.3229,0.8125,1.1100,1.2536,0.7464,0.8900,0.6767,0.7500,0.8227,0.6976
German Credit,Attribute9,Male,DisparateImpactRemover,Validation,2,False,Surrogate,RandomForestClassifier,Female,1.0016,0.9986,1.0200,1.0574,0.9426,0.9800,0.8600,0.8100,0.8790,0.6929
German Credit,Attribute9,Male,DisparateImpactRemover,Validation,2,False,Surrogate,RandomForestClassifier,Male,0.9984,0.9986,0.9800,0.9426,0.9426,0.9800,0.8600,0.8100,0.8790,0.6929
German Credit,Attribute9,Male,DisparateImpactRemover,Test,2,False,Surrogate,LogisticRegression,Female,0.7552,0.8013,0.7000,1.0574,0.9426,0.7000,0.7767,0.6900,0.7862,0.6071
German Credit,Attribute9,Male,DisparateImpactRemover,Test,2,False,Surrogate,LogisticRegression,Male,1.3242,0.8013,1.3000,0.9426,0.9426,0.7000,0.7767,0.6900,0.7862,0.6071
German Credit,Attribute9,Male,DisparateImpactRemover,Test,2,False,Surrogate,SVC,Female,0.7419,0.7868,0.6600,1.1100,0.8900,0.6600,0.7933,0.7200,0.8082,0.6381
German Credit,Attribute9,Male,DisparateImpactRemover,Test,2,False,Surrogate,SVC,Male,1.3478,0.7868,1.3400,0.8900,0.8900,0.6600,0.7933,0.7200,0.8082,0.6381
German Credit,Attribute9,Male,DisparateImpactRemover,Test,2,False,Surrogate,GaussianNB,Female,0.7419,0.8317,0.8400,0.9043,0.9043,0.8400,0.8033,0.7000,0.7692,0.6905
German Credit,Attribute9,Male,DisparateImpactRemover,Test,2,False,Surrogate,GaussianNB,Male,1.3478,0.8317,1.1600,1.0957,0.9043,0.8400,0.8033,0.7000,0.7692,0.6905
German Credit,Attribute9,Male,DisparateImpactRemover,Test,2,False,Surrogate,DecisionTreeClassifier,Female,0.5674,0.6802,0.7000,0.6938,0.6938,0.7000,0.6400,0.6600,0.7463,0.6238
German Credit,Attribute9,Male,DisparateImpactRemover,Test,2,False,Surrogate,DecisionTreeClassifier,Male,1.7625,0.6802,1.3000,1.3062,0.6938,0.7000,0.6400,0.6600,0.7463,0.6238
German Credit,Attribute9,Male,DisparateImpactRemover,Test,2,False,Surrogate,RandomForestClassifier,Female,0.7675,0.8046,0.7600,0.9665,0.9665,0.7600,0.7867,0.7400,0.8243,0.6524
German Credit,Attribute9,Male,DisparateImpactRemover,Test,2,False,Surrogate,RandomForestClassifier,Male,1.3029,0.8046,1.2400,1.0335,0.9665,0.7600,0.7867,0.7400,0.8243,0.6524
German Credit,Attribute9,Male,DisparateImpactRemover,Validation,2,False,Test,XGBClassifier,Female,1.0334,0.9729,1.0400,1.1244,0.8756,0.9600,0.8000,0.8400,0.8947,0.7524
