dataset,attribute,group,algorithm,set,iteration,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,1.7222,0.7204,1.25,1.3062,0.6938,0.75,0.5867,0.6,0.6875,0.581
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Female,1.0334,0.9729,1.0,1.1483,0.8517,1.0,0.7533,0.74,0.8289,0.6333
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Male,0.9677,0.9729,1.0,0.8517,0.8517,1.0,0.7533,0.74,0.8289,0.6333
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,Female,0.9334,0.9402,1.03,0.7943,0.7943,0.97,0.8533,0.72,0.8228,0.581
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,Male,1.0713,0.9402,0.97,1.2057,0.7943,0.97,0.8533,0.72,0.8228,0.581
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,Female,1.0186,0.9841,1.1,0.8995,0.8995,0.9,0.8833,0.74,0.8333,0.6143
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,Male,0.9817,0.9841,0.9,1.1005,0.8995,0.9,0.8833,0.74,0.8333,0.6143
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,Female,0.8819,0.9093,0.99,0.8373,0.8373,0.99,0.76,0.76,0.8333,0.6952
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,Male,1.1339,0.9093,1.01,1.1627,0.8373,0.99,0.76,0.76,0.8333,0.6952
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Female,1.0448,0.9682,1.04,1.0574,0.9426,0.96,0.6333,0.66,0.7606,0.5857
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Male,0.9572,0.9682,0.96,0.9426,0.9426,0.96,0.6333,0.66,0.7606,0.5857
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Female,1.0117,0.9906,1.09,0.9139,0.9139,0.91,0.7333,0.74,0.8267,0.6429
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Male,0.9884,0.9906,0.91,1.0861,0.9139,0.91,0.7333,0.74,0.8267,0.6429
German Credit,Attribute9,Female,Massaging,Validation,2,False,Test,XGBClassifier,Female,0.9602,0.9705,0.89,1.2153,0.7847,0.89,0.6633,0.73,0.8112,0.6643
German Credit,Attribute9,Female,Massaging,Validation,2,False,Test,XGBClassifier,Male,1.0415,0.9705,1.11,0.7847,0.7847,0.89,0.6633,0.73,0.8112,0.6643
German Credit,Attribute9,Female,Massaging,Test,2,False,Test,XGBClassifier,Female,1.0273,0.9794,1.1,0.9139,0.9139,0.9,0.7033,0.7,0.7945,0.6143
German Credit,Attribute9,Female,Massaging,Test,2,False,Test,XGBClassifier,Male,0.9734,0.9794,0.9,1.0861,0.9139,0.9,0.7033,0.7,0.7945,0.6143
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,LogisticRegression,Female,0.8532,0.8724,0.96,0.7703,0.7703,0.96,0.8067,0.77,0.8497,0.6643
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,LogisticRegression,Male,1.172,0.8724,1.04,1.2297,0.7703,0.96,0.8067,0.77,0.8497,0.6643
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,SVC,Female,1.0305,0.9762,0.93,1.3062,0.6938,0.93,0.8167,0.77,0.8456,0.6833
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,SVC,Male,0.9704,0.9762,1.07,0.6938,0.6938,0.93,0.8167,0.77,0.8456,0.6833
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,GaussianNB,Female,0.8094,0.8784,0.92,0.9187,0.9187,0.92,0.7,0.76,0.8154,0.7619
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,GaussianNB,Male,1.2355,0.8784,1.08,1.0813,0.9187,0.92,0.7,0.76,0.8154,0.7619
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,0.7568,0.8237,0.75,1.0191,0.9809,0.75,0.6367,0.65,0.7445,0.5976
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,1.3214,0.8237,1.25,0.9809,0.9809,0.75,0.6367,0.65,0.7445,0.5976
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Female,0.9054,0.9191,0.86,1.0957,0.9043,0.86,0.7933,0.73,0.8235,0.6167
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Male,1.1045,0.9191,1.14,0.9043,0.9043,0.86,0.7933,0.73,0.8235,0.6167
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,LogisticRegression,Female,0.8826,0.9014,0.93,0.9139,0.9139,0.93,0.8467,0.75,0.8344,0.65
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,LogisticRegression,Male,1.133,0.9014,1.07,1.0861,0.9139,0.93,0.8467,0.75,0.8344,0.65
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,SVC,Female,0.8591,0.8836,0.95,0.823,0.823,0.95,0.8467,0.75,0.8322,0.6595
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,SVC,Male,1.164,0.8836,1.05,1.177,0.823,0.95,0.8467,0.75,0.8322,0.6595
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,GaussianNB,Female,0.7258,0.8172,0.8,0.9569,0.9569,0.8,0.74,0.73,0.7939,0.7214
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,GaussianNB,Male,1.3778,0.8172,1.2,1.0431,0.9569,0.8,0.74,0.73,0.7939,0.7214
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Female,1.0202,0.986,0.99,1.11,0.89,0.99,0.61,0.66,0.7571,0.5952
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Male,0.9802,0.986,1.01,0.89,0.89,0.99,0.61,0.66,0.7571,0.5952
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Female,0.9713,0.9771,1.04,0.9139,0.9139,0.96,0.73,0.73,0.8188,0.6357
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Male,1.0296,0.9771,0.96,1.0861,0.9139,0.96,0.73,0.73,0.8188,0.6357
German Credit,Attribute9,Male,Massaging,Validation,1,False,Test,XGBClassifier,Female,0.8819,0.9093,0.87,1.0718,0.9282,0.87,0.6467,0.74,0.8194,0.6714
German Credit,Attribute9,Male,Massaging,Validation,1,False,Test,XGBClassifier,Male,1.1339,0.9093,1.13,0.9282,0.9282,0.87,0.6467,0.74,0.8194,0.6714
German Credit,Attribute9,Male,Massaging,Test,1,False,Test,XGBClassifier,Female,1.0911,0.9327,1.1,1.0574,0.9426,0.9,0.7433,0.7,0.7945,0.6143
German Credit,Attribute9,Male,Massaging,Test,1,False,Test,XGBClassifier,Male,0.9165,0.9327,0.9,0.9426,0.9426,0.9,0.7433,0.7,0.7945,0.6143
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,LogisticRegression,Female,0.8532,0.8724,0.96,0.7703,0.7703,0.96,0.8067,0.77,0.8497,0.6643
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,LogisticRegression,Male,1.172,0.8724,1.04,1.2297,0.7703,0.96,0.8067,0.77,0.8497,0.6643
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,SVC,Female,1.0305,0.9762,0.93,1.3062,0.6938,0.93,0.8167,0.77,0.8456,0.6833
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,SVC,Male,0.9704,0.9762,1.07,0.6938,0.6938,0.93,0.8167,0.77,0.8456,0.6833
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,GaussianNB,Female,0.8094,0.8784,0.92,0.9187,0.9187,0.92,0.7,0.76,0.8154,0.7619
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,GaussianNB,Male,1.2355,0.8784,1.08,1.0813,0.9187,0.92,0.7,0.76,0.8154,0.7619
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,0.7568,0.8237,0.75,1.0191,0.9809,0.75,0.6367,0.65,0.7445,0.5976
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,1.3214,0.8237,1.25,0.9809,0.9809,0.75,0.6367,0.65,0.7445,0.5976
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Female,0.9054,0.9191,0.86,1.0957,0.9043,0.86,0.7933,0.73,0.8235,0.6167
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Male,1.1045,0.9191,1.14,0.9043,0.9043,0.86,0.7933,0.73,0.8235,0.6167
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,LogisticRegression,Female,0.8826,0.9014,0.93,0.9139,0.9139,0.93,0.8467,0.75,0.8344,0.65
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,LogisticRegression,Male,1.133,0.9014,1.07,1.0861,0.9139,0.93,0.8467,0.75,0.8344,0.65
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,SVC,Female,0.8591,0.8836,0.95,0.823,0.823,0.95,0.8467,0.75,0.8322,0.6595
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,SVC,Male,1.164,0.8836,1.05,1.177,0.823,0.95,0.8467,0.75,0.8322,0.6595
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,GaussianNB,Female,0.7258,0.8172,0.8,0.9569,0.9569,0.8,0.74,0.73,0.7939,0.7214
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,GaussianNB,Male,1.3778,0.8172,1.2,1.0431,0.9569,0.8,0.74,0.73,0.7939,0.7214
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Female,1.0202,0.986,0.99,1.11,0.89,0.99,0.61,0.66,0.7571,0.5952
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Male,0.9802,0.986,1.01,0.89,0.89,0.99,0.61,0.66,0.7571,0.5952
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Female,0.9713,0.9771,1.04,0.9139,0.9139,0.96,0.73,0.73,0.8188,0.6357
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Male,1.0296,0.9771,0.96,1.0861,0.9139,0.96,0.73,0.73,0.8188,0.6357
German Credit,Attribute9,Male,Massaging,Validation,2,False,Test,XGBClassifier,Female,0.8819,0.9093,0.87,1.0718,0.9282,0.87,0.6467,0.74,0.8194,0.6714
German Credit,Attribute9,Male,Massaging,Validation,2,False,Test,XGBClassifier,Male,1.1339,0.9093,1.13,0.9282,0.9282,0.87,0.6467,0.74,0.8194,0.6714
German Credit,Attribute9,Male,Massaging,Test,2,False,Test,XGBClassifier,Female,1.0911,0.9327,1.1,1.0574,0.9426,0.9,0.7433,0.7,0.7945,0.6143
German Credit,Attribute9,Male,Massaging,Test,2,False,Test,XGBClassifier,Male,0.9165,0.9327,0.9,0.9426,0.9426,0.9,0.7433,0.7,0.7945,0.6143
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,LogisticRegression,Female,1.0334,0.9729,1.03,1.11,0.89,0.97,0.79,0.78,0.8553,0.681
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,LogisticRegression,Male,0.9677,0.9729,0.97,0.89,0.89,0.97,0.79,0.78,0.8553,0.681
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,SVC,Female,1.2056,0.8569,1.06,1.4115,0.5885,0.94,0.7933,0.76,0.8333,0.6952
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,SVC,Male,0.8294,0.8569,0.94,0.5885,0.5885,0.94,0.7933,0.76,0.8333,0.6952
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,GaussianNB,Female,0.8347,0.9042,0.93,0.9713,0.9713,0.93,0.6867,0.73,0.784,0.75
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,GaussianNB,Male,1.1981,0.9042,1.07,1.0287,0.9713,0.93,0.6867,0.73,0.784,0.75
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,0.7856,0.8415,0.87,0.823,0.823,0.87,0.59,0.65,0.7482,0.5881
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,1.2729,0.8415,1.13,1.177,0.823,0.87,0.59,0.65,0.7482,0.5881
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,Female,0.82,0.8513,0.88,0.8756,0.8756,0.88,0.7333,0.76,0.8378,0.6762
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,Male,1.2195,0.8513,1.12,1.1244,0.8756,0.88,0.7333,0.76,0.8378,0.6762
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,LogisticRegression,Female,1.0499,0.9617,1.0,1.2153,0.7847,1.0,0.7867,0.78,0.8514,0.7
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,LogisticRegression,Male,0.9525,0.9617,1.0,0.7847,0.7847,1.0,0.7867,0.78,0.8514,0.7
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,SVC,Female,1.0038,0.9972,1.04,1.0335,0.9665,0.96,0.7967,0.78,0.8472,0.719
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,SVC,Male,0.9962,0.9972,0.96,0.9665,0.9665,0.96,0.7967,0.78,0.8472,0.719
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,GaussianNB,Female,0.9229,0.9542,0.93,1.1005,0.8995,0.93,0.7333,0.7,0.7656,0.7
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,GaussianNB,Male,1.0835,0.9542,1.07,0.8995,0.8995,0.93,0.7333,0.7,0.7656,0.7
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,DecisionTreeClassifier,Female,1.4268,0.7588,1.26,1.2679,0.7321,0.74,0.57,0.66,0.7463,0.6238
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,DecisionTreeClassifier,Male,0.7009,0.7588,0.74,0.7321,0.7321,0.74,0.57,0.66,0.7463,0.6238
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,RandomForestClassifier,Female,1.0038,0.9972,1.03,1.0191,0.9809,0.97,0.7267,0.72,0.8056,0.6476
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,RandomForestClassifier,Male,0.9962,0.9972,0.97,0.9809,0.9809,0.97,0.7267,0.72,0.8056,0.6476
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Test,XGBClassifier,Female,0.9892,0.9916,0.95,1.1627,0.8373,0.95,0.7033,0.76,0.8378,0.6762
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Test,XGBClassifier,Male,1.0109,0.9916,1.05,0.8373,0.8373,0.95,0.7033,0.76,0.8378,0.6762
German Credit,Attribute9,Female,Reweighing,Test,1,False,Test,XGBClassifier,Female,1.0684,0.9504,1.07,1.0574,0.9426,0.93,0.7167,0.68,0.7778,0.6
German Credit,Attribute9,Female,Reweighing,Test,1,False,Test,XGBClassifier,Male,0.936,0.9504,0.93,0.9426,0.9426,0.93,0.7167,0.68,0.7778,0.6
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,LogisticRegression,Female,0.9762,0.9804,1.03,0.9665,0.9665,0.97,0.7733,0.78,0.8553,0.681
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,LogisticRegression,Male,1.0243,0.9804,0.97,1.0335,0.9665,0.97,0.7733,0.78,0.8553,0.681
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,SVC,Female,1.1366,0.907,0.98,1.4115,0.5885,0.98,0.7967,0.73,0.8085,0.6738
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,SVC,Male,0.8798,0.907,1.02,0.5885,0.5885,0.98,0.7967,0.73,0.8085,0.6738
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,GaussianNB,Female,0.8786,0.9331,0.92,1.0622,0.9378,0.92,0.6767,0.69,0.748,0.7119
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,GaussianNB,Male,1.1382,0.9331,1.08,0.9378,0.9378,0.92,0.6767,0.69,0.748,0.7119
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,0.7419,0.7868,0.79,0.8086,0.8086,0.79,0.69,0.66,0.7671,0.5667
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,1.3478,0.7868,1.21,1.1914,0.8086,0.79,0.69,0.66,0.7671,0.5667
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,RandomForestClassifier,Female,0.9539,0.9626,0.95,1.0574,0.9426,0.95,0.7667,0.74,0.8267,0.6429
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,RandomForestClassifier,Male,1.0483,0.9626,1.05,0.9426,0.9426,0.95,0.7667,0.74,0.8267,0.6429
