dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Female,0.9645,0.9691,0.97,1.0574,0.9426,0.97,0.8133,0.8,0.8718,0.6857
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Male,1.0368,0.9691,1.03,0.9426,0.9426,0.97,0.8133,0.8,0.8718,0.6857
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,Female,0.8656,0.8948,0.94,0.8756,0.8756,0.94,0.72,0.73,0.8138,0.6548
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,Male,1.1553,0.8948,1.06,1.1244,0.8756,0.94,0.72,0.73,0.8138,0.6548
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,1.1839,0.8747,1.14,1.1627,0.8373,0.86,0.6833,0.7,0.7887,0.6333
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,0.8446,0.8747,0.86,0.8373,0.8373,0.86,0.6833,0.7,0.7887,0.6333
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Female,0.8981,0.9158,0.96,0.9282,0.9282,0.96,0.7133,0.8,0.8667,0.7143
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Male,1.1134,0.9158,1.04,1.0718,0.9282,0.96,0.7133,0.8,0.8667,0.7143
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,Female,0.9978,0.9981,1.0,1.0431,0.9569,1.0,0.8567,0.72,0.8182,0.6
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,Male,1.0022,0.9981,1.0,0.9569,0.9569,1.0,0.8567,0.72,0.8182,0.6
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,Female,0.9892,0.9902,0.94,1.1196,0.8804,0.94,0.9033,0.71,0.8199,0.5548
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,Male,1.0109,0.9902,1.06,0.8804,0.8804,0.94,0.9033,0.71,0.8199,0.5548
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,Female,1.0732,0.9406,1.12,1.0048,0.9952,0.88,0.8467,0.75,0.8366,0.6405
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,Male,0.9318,0.9406,0.88,0.9952,0.9952,0.88,0.8467,0.75,0.8366,0.6405
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Female,1.0665,0.9537,1.02,1.1627,0.8373,0.98,0.6267,0.69,0.7801,0.6262
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Male,0.9376,0.9537,0.98,0.8373,0.8373,0.98,0.6267,0.69,0.7801,0.6262
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Female,0.8826,0.9014,1.0,0.7703,0.7703,1.0,0.7667,0.75,0.8344,0.65
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Male,1.133,0.9014,1.0,1.2297,0.7703,1.0,0.7667,0.75,0.8344,0.65
German Credit,Attribute9,Female,Massaging,Validation,2,False,Test,XGBClassifier,Female,0.8903,0.9205,0.91,1.0335,0.9665,0.91,0.6533,0.74,0.8143,0.6905
