dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,Female,0.7810,0.8191,0.8800,0.7847,0.7847,0.8800,0.8233,0.7700,0.8435,0.6929
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,Male,1.2804,0.8191,1.1200,1.2153,0.7847,0.8800,0.8233,0.7700,0.8435,0.6929
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,Female,0.9762,0.9804,1.0700,0.8612,0.8612,0.9300,0.7900,0.7400,0.8289,0.6333
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,Male,1.0243,0.9804,0.9300,1.1388,0.8612,0.9300,0.7900,0.7400,0.8289,0.6333
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,Female,0.8094,0.8784,0.8900,0.9569,0.9569,0.8900,0.7467,0.7200,0.7846,0.7143
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,Male,1.2355,0.8784,1.1100,1.0431,0.9569,0.8900,0.7467,0.7200,0.7846,0.7143
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,Female,1.0069,0.9958,0.9800,1.1388,0.8612,0.9800,0.6100,0.6900,0.7634,0.6738
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,Male,0.9931,0.9958,1.0200,0.8612,0.8612,0.9800,0.6100,0.6900,0.7634,0.6738
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,Female,0.8826,0.9014,0.9800,0.8230,0.8230,0.9800,0.7667,0.7700,0.8477,0.6738
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,Male,1.1330,0.9014,1.0200,1.1770,0.8230,0.9800,0.7667,0.7700,0.8477,0.6738
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,Female,0.8981,0.9158,1.0000,0.8230,0.8230,1.0000,0.8167,0.7600,0.8400,0.6667
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,Male,1.1134,0.9158,1.0000,1.1770,0.8230,1.0000,0.8167,0.7600,0.8400,0.6667
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,SVC,Female,0.9978,0.9981,1.0000,1.0431,0.9569,1.0000,0.8633,0.7200,0.8182,0.6000
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,SVC,Male,1.0022,0.9981,1.0000,0.9569,0.9569,1.0000,0.8633,0.7200,0.8182,0.6000
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,GaussianNB,Female,0.6814,0.7737,0.8600,0.7225,0.7225,0.8600,0.7300,0.7800,0.8358,0.7667
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,GaussianNB,Male,1.4676,0.7737,1.1400,1.2775,0.7225,0.8600,0.7300,0.7800,0.8358,0.7667
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,Female,0.7883,0.8527,0.7500,1.1244,0.8756,0.7500,0.6033,0.6700,0.7556,0.6310
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,Male,1.2685,0.8527,1.2500,0.8756,0.8756,0.7500,0.6033,0.6700,0.7556,0.6310
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,Female,0.9892,0.9916,1.0000,1.0718,0.9282,1.0000,0.7700,0.7800,0.8514,0.7000
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,Male,1.0109,0.9916,1.0000,0.9282,0.9282,1.0000,0.7700,0.7800,0.8514,0.7000
German Credit,Attribute9,NA,NA,Validation,0,False,Test,XGBClassifier,Female,0.8133,0.8593,0.9400,0.7990,0.7990,0.9400,0.6200,0.7700,0.8369,0.7214
German Credit,Attribute9,NA,NA,Validation,0,False,Test,XGBClassifier,Male,1.2296,0.8593,1.0600,1.2010,0.7990,0.9400,0.6200,0.7700,0.8369,0.7214
German Credit,Attribute9,NA,NA,Test,0,False,Test,XGBClassifier,Female,0.9845,0.9883,0.9200,1.2153,0.7847,0.9200,0.7333,0.7500,0.8276,0.6786
German Credit,Attribute9,NA,NA,Test,0,False,Test,XGBClassifier,Male,1.0158,0.9883,1.0800,0.7847,0.7847,0.9200,0.7333,0.7500,0.8276,0.6786
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,LogisticRegression,Female,0.8903,0.9046,0.9600,0.8612,0.8612,0.9600,0.8633,0.7600,0.8442,0.6476
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,LogisticRegression,Male,1.1232,0.9046,1.0400,1.1388,0.8612,0.9600,0.8633,0.7600,0.8442,0.6476
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,SVC,Female,0.9852,0.9869,1.0100,0.9904,0.9904,0.9900,0.8533,0.7400,0.8354,0.6048
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,SVC,Male,1.0150,0.9869,0.9900,1.0096,0.9904,0.9900,0.8533,0.7400,0.8354,0.6048
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,Female,0.8656,0.8948,0.9900,0.7847,0.7847,0.9900,0.7633,0.7500,0.8276,0.6786
