dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,Female_0.0_a_train_set_,Female_0.0_b_predicted_set_,Female_0.0_c_predictions_set_,Female_1.0_a_train_set_,Female_1.0_b_predicted_set_,Female_1.0_c_predictions_set_,Male_0.0_a_train_set_,Male_0.0_b_predicted_set_,Male_0.0_c_predictions_set_,Male_1.0_a_train_set_,Male_1.0_b_predicted_set_,Male_1.0_c_predictions_set_
German Credit,Attribute9,NA,NA,Validation,0,False,Test,XGBClassifier,0.1088,0.1100,0.0600,0.2013,0.2000,0.2500,0.1912,0.1900,0.1500,0.4988,0.5000,0.5400
German Credit,Attribute9,NA,NA,Test,0,False,Test,XGBClassifier,0.1088,0.1100,0.1000,0.2013,0.2000,0.2100,0.1912,0.1900,0.1500,0.4988,0.5000,0.5400
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,LogisticRegression,0.0938,0.1100,0.0600,0.2162,0.2000,0.2500,0.2062,0.1900,0.1100,0.4838,0.5000,0.5800
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,SVC,0.0938,0.1100,0.0000,0.2162,0.2000,0.3100,0.2062,0.1900,0.0900,0.4838,0.5000,0.6000
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,0.0938,0.1100,0.0600,0.2162,0.2000,0.2500,0.2062,0.1900,0.1300,0.4838,0.5000,0.5600
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,0.0938,0.1100,0.0900,0.2162,0.2000,0.2200,0.2062,0.1900,0.2400,0.4838,0.5000,0.4500
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,0.0938,0.1100,0.0500,0.2162,0.2000,0.2600,0.2062,0.1900,0.1500,0.4838,0.5000,0.5400
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,LogisticRegression,0.0938,0.1100,0.0700,0.2162,0.2000,0.2400,0.2062,0.1900,0.1600,0.4838,0.5000,0.5300
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,SVC,0.0938,0.1100,0.0600,0.2162,0.2000,0.2500,0.2062,0.1900,0.0900,0.4838,0.5000,0.6000
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,GaussianNB,0.0938,0.1100,0.0800,0.2162,0.2000,0.2300,0.2062,0.1900,0.1800,0.4838,0.5000,0.5100
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,0.0938,0.1100,0.1000,0.2162,0.2000,0.2100,0.2062,0.1900,0.2000,0.4838,0.5000,0.4900
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,RandomForestClassifier,0.0938,0.1100,0.0600,0.2162,0.2000,0.2500,0.2062,0.1900,0.1500,0.4838,0.5000,0.5400
German Credit,Attribute9,Female,Massaging,Validation,1,False,Test,XGBClassifier,0.0938,0.1100,0.0800,0.2162,0.2000,0.2300,0.2062,0.1900,0.1900,0.4838,0.5000,0.5000
German Credit,Attribute9,Female,Massaging,Test,1,False,Test,XGBClassifier,0.0938,0.1100,0.0800,0.2162,0.2000,0.2300,0.2062,0.1900,0.1800,0.4838,0.5000,0.5100
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,0.0938,0.1100,0.0600,0.2162,0.2000,0.2500,0.2062,0.1900,0.1100,0.4838,0.5000,0.5800
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,0.0938,0.1100,0.0000,0.2162,0.2000,0.3100,0.2062,0.1900,0.0900,0.4838,0.5000,0.6000
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,0.0938,0.1100,0.0600,0.2162,0.2000,0.2500,0.2062,0.1900,0.1300,0.4838,0.5000,0.5600
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,0.0938,0.1100,0.0900,0.2162,0.2000,0.2200,0.2062,0.1900,0.2400,0.4838,0.5000,0.4500
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,0.0938,0.1100,0.0500,0.2162,0.2000,0.2600,0.2062,0.1900,0.1500,0.4838,0.5000,0.5400
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,0.0938,0.1100,0.0700,0.2162,0.2000,0.2400,0.2062,0.1900,0.1600,0.4838,0.5000,0.5300
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,0.0938,0.1100,0.0600,0.2162,0.2000,0.2500,0.2062,0.1900,0.0900,0.4838,0.5000,0.6000
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,0.0938,0.1100,0.0800,0.2162,0.2000,0.2300,0.2062,0.1900,0.1800,0.4838,0.5000,0.5100
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,0.0938,0.1100,0.1000,0.2162,0.2000,0.2100,0.2062,0.1900,0.2000,0.4838,0.5000,0.4900
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,RandomForestClassifier,0.0938,0.1100,0.0600,0.2162,0.2000,0.2500,0.2062,0.1900,0.1500,0.4838,0.5000,0.5400
German Credit,Attribute9,Female,Massaging,Validation,2,False,Test,XGBClassifier,0.0938,0.1100,0.0800,0.2162,0.2000,0.2300,0.2062,0.1900,0.1900,0.4838,0.5000,0.5000
German Credit,Attribute9,Female,Massaging,Test,2,False,Test,XGBClassifier,0.0938,0.1100,0.0800,0.2162,0.2000,0.2300,0.2062,0.1900,0.1800,0.4838,0.5000,0.5100
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,LogisticRegression,0.1088,0.1100,0.0500,0.2013,0.2000,0.2600,0.1912,0.1900,0.1100,0.4988,0.5000,0.5800
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,SVC,0.1088,0.1100,0.0500,0.2013,0.2000,0.2600,0.1912,0.1900,0.1200,0.4988,0.5000,0.5700
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,GaussianNB,0.1088,0.1100,0.1500,0.2013,0.2000,0.1600,0.1912,0.1900,0.2900,0.4988,0.5000,0.4000
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.2300,0.4988,0.5000,0.4600
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,0.1088,0.1100,0.0700,0.2013,0.2000,0.2400,0.1912,0.1900,0.1300,0.4988,0.5000,0.5600
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,LogisticRegression,0.1088,0.1100,0.1000,0.2013,0.2000,0.2100,0.1912,0.1900,0.1300,0.4988,0.5000,0.5600
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,SVC,0.1088,0.1100,0.0700,0.2013,0.2000,0.2400,0.1912,0.1900,0.1300,0.4988,0.5000,0.5600
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,GaussianNB,0.1088,0.1100,0.1800,0.2013,0.2000,0.1300,0.1912,0.1900,0.2400,0.4988,0.5000,0.4500
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.1800,0.4988,0.5000,0.5100
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,RandomForestClassifier,0.1088,0.1100,0.0800,0.2013,0.2000,0.2300,0.1912,0.1900,0.1800,0.4988,0.5000,0.5100
German Credit,Attribute9,Male,Massaging,Validation,1,False,Test,XGBClassifier,0.1088,0.1100,0.0600,0.2013,0.2000,0.2500,0.1912,0.1900,0.1500,0.4988,0.5000,0.5400
German Credit,Attribute9,Male,Massaging,Test,1,False,Test,XGBClassifier,0.1088,0.1100,0.1000,0.2013,0.2000,0.2100,0.1912,0.1900,0.1500,0.4988,0.5000,0.5400
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,LogisticRegression,0.1088,0.1100,0.0500,0.2013,0.2000,0.2600,0.1912,0.1900,0.1100,0.4988,0.5000,0.5800
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,SVC,0.1088,0.1100,0.0500,0.2013,0.2000,0.2600,0.1912,0.1900,0.1200,0.4988,0.5000,0.5700
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,GaussianNB,0.1088,0.1100,0.1500,0.2013,0.2000,0.1600,0.1912,0.1900,0.2900,0.4988,0.5000,0.4000
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.2300,0.4988,0.5000,0.4600
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,0.1088,0.1100,0.0700,0.2013,0.2000,0.2400,0.1912,0.1900,0.1300,0.4988,0.5000,0.5600
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,LogisticRegression,0.1088,0.1100,0.1000,0.2013,0.2000,0.2100,0.1912,0.1900,0.1300,0.4988,0.5000,0.5600
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,SVC,0.1088,0.1100,0.0700,0.2013,0.2000,0.2400,0.1912,0.1900,0.1300,0.4988,0.5000,0.5600
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,GaussianNB,0.1088,0.1100,0.1800,0.2013,0.2000,0.1300,0.1912,0.1900,0.2400,0.4988,0.5000,0.4500
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.1800,0.4988,0.5000,0.5100
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,RandomForestClassifier,0.1088,0.1100,0.0800,0.2013,0.2000,0.2300,0.1912,0.1900,0.1800,0.4988,0.5000,0.5100
German Credit,Attribute9,Male,Massaging,Validation,2,False,Test,XGBClassifier,0.1088,0.1100,0.0600,0.2013,0.2000,0.2500,0.1912,0.1900,0.1500,0.4988,0.5000,0.5400
German Credit,Attribute9,Male,Massaging,Test,2,False,Test,XGBClassifier,0.1088,0.1100,0.1000,0.2013,0.2000,0.2100,0.1912,0.1900,0.1500,0.4988,0.5000,0.5400
