dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,Massaging,Test,1,False,Target,XGBClassifier,Female,0.8744,0.8981,0.9300,0.9282,0.9282,0.9300,0.8767,0.7800,0.8514,0.7000
German Credit,Attribute9,Female,Massaging,Test,1,False,Target,XGBClassifier,Male,1.1436,0.8981,1.0700,1.0718,0.9282,0.9300,0.8767,0.7800,0.8514,0.7000
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,Female,0.9308,0.9448,0.9200,1.0574,0.9426,0.9200,0.8833,0.7200,0.8108,0.6286
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,Male,1.0744,0.9448,1.0800,0.9426,0.9426,0.9200,0.8833,0.7200,0.8108,0.6286
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Female,1.0717,0.9439,0.9900,1.2392,0.7608,0.9900,0.9267,0.7000,0.8000,0.5952
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Male,0.9331,0.9439,1.0100,0.7608,0.7608,0.9900,0.9267,0.7000,0.8000,0.5952
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,Female,0.9308,0.9448,0.8900,1.0957,0.9043,0.8900,0.8933,0.6800,0.7838,0.5810
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,Male,1.0744,0.9448,1.1100,0.9043,0.9043,0.8900,0.8933,0.6800,0.7838,0.5810
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,0.8347,0.8850,0.8600,0.9665,0.9665,0.8600,0.7600,0.6200,0.7206,0.5667
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,1.1981,0.8850,1.1400,1.0335,0.9665,0.8600,0.7600,0.6200,0.7206,0.5667
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Female,1.1574,0.8859,1.1000,1.2010,0.7990,0.9000,0.8367,0.7000,0.7945,0.6143
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Male,0.8640,0.8859,0.9000,0.7990,0.7990,0.9000,0.8367,0.7000,0.7945,0.6143
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,Female,0.8903,0.9126,1.0400,0.7321,0.7321,0.9600,0.8567,0.7500,0.8299,0.6690
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,Male,1.1232,0.9126,0.9600,1.2679,0.7321,0.9600,0.8567,0.7500,0.8299,0.6690
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,Female,0.9142,0.9303,1.0400,0.7703,0.7703,0.9600,0.8867,0.7300,0.8188,0.6357
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,Male,1.0939,0.9303,0.9600,1.2297,0.7703,0.9600,0.8867,0.7300,0.8188,0.6357
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,Female,0.9417,0.9561,1.0800,0.7847,0.7847,0.9200,0.8600,0.7400,0.8194,0.6714
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,Male,1.0619,0.9561,0.9200,1.2153,0.7847,0.9200,0.8600,0.7400,0.8194,0.6714
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Female,0.9085,0.9350,0.9900,0.8756,0.8756,0.9900,0.7433,0.6700,0.7626,0.6119
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Male,1.1007,0.9350,1.0100,1.1244,0.8756,0.9900,0.7433,0.6700,0.7626,0.6119
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Female,0.8300,0.8546,0.9100,0.8230,0.8230,0.9100,0.8500,0.7700,0.8477,0.6738
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Male,1.2049,0.8546,1.0900,1.1770,0.8230,0.9100,0.8500,0.7700,0.8477,0.6738
German Credit,Attribute9,Female,Massaging,Validation,2,False,Target,XGBClassifier,Female,1.0665,0.9537,1.0700,1.0718,0.9282,0.9300,0.7933,0.7100,0.7943,0.6500
German Credit,Attribute9,Female,Massaging,Validation,2,False,Target,XGBClassifier,Male,0.9376,0.9537,0.9300,0.9282,0.9282,0.9300,0.7933,0.7100,0.7943,0.6500
German Credit,Attribute9,Female,Massaging,Test,2,False,Target,XGBClassifier,Female,0.8744,0.8981,0.9300,0.9282,0.9282,0.9300,0.8767,0.7800,0.8514,0.7000
German Credit,Attribute9,Female,Massaging,Test,2,False,Target,XGBClassifier,Male,1.1436,0.8981,1.0700,1.0718,0.9282,0.9300,0.8767,0.7800,0.8514,0.7000
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,LogisticRegression,Female,1.0038,0.9972,0.9600,1.1627,0.8373,0.9600,0.8833,0.7200,0.8056,0.6476
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,LogisticRegression,Male,0.9962,0.9972,1.0400,0.8373,0.8373,0.9600,0.8833,0.7200,0.8056,0.6476
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,SVC,Female,0.8656,0.8948,0.9400,0.8756,0.8756,0.9400,0.8800,0.7300,0.8138,0.6548
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,SVC,Male,1.1553,0.8948,1.0600,1.1244,0.8756,0.9400,0.8800,0.7300,0.8138,0.6548
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,GaussianNB,Female,0.9611,0.9752,0.9600,1.0861,0.9139,0.9600,0.8400,0.6900,0.7669,0.6643
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,GaussianNB,Male,1.0404,0.9752,1.0400,0.9139,0.9139,0.9600,0.8400,0.6900,0.7669,0.6643
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,1.1388,0.9135,1.1700,0.9809,0.9809,0.8300,0.7733,0.6700,0.7556,0.6310
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,0.8781,0.9135,0.8300,1.0191,0.9809,0.8300,0.7733,0.6700,0.7556,0.6310
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Female,0.9659,0.9738,1.0800,0.8230,0.8230,0.9200,0.8433,0.7200,0.8082,0.6381
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Male,1.0353,0.9738,0.9200,1.1770,0.8230,0.9200,0.8433,0.7200,0.8082,0.6381
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,LogisticRegression,Female,0.9417,0.9561,1.0800,0.7847,0.7847,0.9200,0.8733,0.7400,0.8194,0.6714
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,LogisticRegression,Male,1.0619,0.9561,0.9200,1.2153,0.7847,0.9200,0.8733,0.7400,0.8194,0.6714
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,SVC,Female,0.8903,0.9126,1.0400,0.7321,0.7321,0.9600,0.8867,0.7500,0.8299,0.6690
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,SVC,Male,1.1232,0.9126,0.9600,1.2679,0.7321,0.9600,0.8867,0.7500,0.8299,0.6690
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,GaussianNB,Female,0.9229,0.9542,0.9600,1.0622,0.9378,0.9600,0.8633,0.7400,0.7969,0.7476
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,GaussianNB,Male,1.0835,0.9542,1.0400,0.9378,0.9378,0.9600,0.8633,0.7400,0.7969,0.7476
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Female,0.6290,0.7527,0.7100,0.8900,0.8900,0.7100,0.7533,0.6300,0.7132,0.6119
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Male,1.5897,0.7527,1.2900,1.1100,0.8900,0.7100,0.7533,0.6300,0.7132,0.6119
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Female,0.8656,0.8948,0.9500,0.8900,0.8900,0.9500,0.8667,0.7900,0.8552,0.7262
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Male,1.1553,0.8948,1.0500,1.1100,0.8900,0.9500,0.8667,0.7900,0.8552,0.7262
German Credit,Attribute9,Male,Massaging,Validation,1,False,Target,XGBClassifier,Female,1.0202,0.9860,1.0400,1.0191,0.9809,0.9600,0.8200,0.6800,0.7714,0.6190
German Credit,Attribute9,Male,Massaging,Validation,1,False,Target,XGBClassifier,Male,0.9802,0.9860,0.9600,0.9809,0.9809,0.9600,0.8200,0.6800,0.7714,0.6190
German Credit,Attribute9,Male,Massaging,Test,1,False,Target,XGBClassifier,Female,0.9480,0.9593,0.9000,1.1627,0.8373,0.9000,0.8367,0.7500,0.8299,0.6690
German Credit,Attribute9,Male,Massaging,Test,1,False,Target,XGBClassifier,Male,1.0548,0.9593,1.1000,0.8373,0.8373,0.9000,0.8367,0.7500,0.8299,0.6690
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,LogisticRegression,Female,1.0038,0.9972,0.9600,1.1627,0.8373,0.9600,0.8833,0.7200,0.8056,0.6476
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,LogisticRegression,Male,0.9962,0.9972,1.0400,0.8373,0.8373,0.9600,0.8833,0.7200,0.8056,0.6476
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,SVC,Female,0.8656,0.8948,0.9400,0.8756,0.8756,0.9400,0.8800,0.7300,0.8138,0.6548
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,SVC,Male,1.1553,0.8948,1.0600,1.1244,0.8756,0.9400,0.8800,0.7300,0.8138,0.6548
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,GaussianNB,Female,0.9611,0.9752,0.9600,1.0861,0.9139,0.9600,0.8400,0.6900,0.7669,0.6643
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,GaussianNB,Male,1.0404,0.9752,1.0400,0.9139,0.9139,0.9600,0.8400,0.6900,0.7669,0.6643
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,1.1388,0.9135,1.1700,0.9809,0.9809,0.8300,0.7733,0.6700,0.7556,0.6310
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,0.8781,0.9135,0.8300,1.0191,0.9809,0.8300,0.7733,0.6700,0.7556,0.6310
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Female,0.9659,0.9738,1.0800,0.8230,0.8230,0.9200,0.8433,0.7200,0.8082,0.6381
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Male,1.0353,0.9738,0.9200,1.1770,0.8230,0.9200,0.8433,0.7200,0.8082,0.6381
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,LogisticRegression,Female,0.9417,0.9561,1.0800,0.7847,0.7847,0.9200,0.8733,0.7400,0.8194,0.6714
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,LogisticRegression,Male,1.0619,0.9561,0.9200,1.2153,0.7847,0.9200,0.8733,0.7400,0.8194,0.6714
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,SVC,Female,0.8903,0.9126,1.0400,0.7321,0.7321,0.9600,0.8867,0.7500,0.8299,0.6690
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,SVC,Male,1.1232,0.9126,0.9600,1.2679,0.7321,0.9600,0.8867,0.7500,0.8299,0.6690
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,GaussianNB,Female,0.9229,0.9542,0.9600,1.0622,0.9378,0.9600,0.8633,0.7400,0.7969,0.7476
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,GaussianNB,Male,1.0835,0.9542,1.0400,0.9378,0.9378,0.9600,0.8633,0.7400,0.7969,0.7476
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Female,0.6290,0.7527,0.7100,0.8900,0.8900,0.7100,0.7533,0.6300,0.7132,0.6119
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Male,1.5897,0.7527,1.2900,1.1100,0.8900,0.7100,0.7533,0.6300,0.7132,0.6119
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Female,0.8656,0.8948,0.9500,0.8900,0.8900,0.9500,0.8667,0.7900,0.8552,0.7262
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Male,1.1553,0.8948,1.0500,1.1100,0.8900,0.9500,0.8667,0.7900,0.8552,0.7262
German Credit,Attribute9,Male,Massaging,Validation,2,False,Target,XGBClassifier,Female,1.0202,0.9860,1.0400,1.0191,0.9809,0.9600,0.8200,0.6800,0.7714,0.6190
German Credit,Attribute9,Male,Massaging,Validation,2,False,Target,XGBClassifier,Male,0.9802,0.9860,0.9600,0.9809,0.9809,0.9600,0.8200,0.6800,0.7714,0.6190
German Credit,Attribute9,Male,Massaging,Test,2,False,Target,XGBClassifier,Female,0.9480,0.9593,0.9000,1.1627,0.8373,0.9000,0.8367,0.7500,0.8299,0.6690
German Credit,Attribute9,Male,Massaging,Test,2,False,Target,XGBClassifier,Male,1.0548,0.9593,1.1000,0.8373,0.8373,0.9000,0.8367,0.7500,0.8299,0.6690
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,LogisticRegression,Female,1.0684,0.9504,0.9600,1.3062,0.6938,0.9600,0.8800,0.7200,0.8056,0.6476
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,LogisticRegression,Male,0.9360,0.9504,1.0400,0.6938,0.6938,0.9600,0.8800,0.7200,0.8056,0.6476
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,SVC,Female,1.0239,0.9827,0.9800,1.1627,0.8373,0.9800,0.8867,0.7100,0.7972,0.6405
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,SVC,Male,0.9767,0.9827,1.0200,0.8373,0.8373,0.9800,0.8867,0.7100,0.7972,0.6405
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,GaussianNB,Female,1.1747,0.9088,1.1200,1.0861,0.9139,0.8800,0.8533,0.6100,0.6880,0.6071
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,GaussianNB,Male,0.8513,0.9088,0.8800,0.9139,0.9139,0.8800,0.8533,0.6100,0.6880,0.6071
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,1.0239,0.9827,1.0200,1.0574,0.9426,0.9800,0.8167,0.6700,0.7692,0.5929
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,0.9767,0.9827,0.9800,0.9426,0.9426,0.9800,0.8167,0.6700,0.7692,0.5929
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,Female,1.0499,0.9617,1.0800,1.0048,0.9952,0.9200,0.8633,0.7000,0.7973,0.6048
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,Male,0.9525,0.9617,0.9200,0.9952,0.9952,0.9200,0.8633,0.7000,0.7973,0.6048
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,LogisticRegression,Female,0.9602,0.9705,1.1000,0.7847,0.7847,0.9000,0.8933,0.7300,0.8112,0.6643
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,LogisticRegression,Male,1.0415,0.9705,0.9000,1.2153,0.7847,0.9000,0.8933,0.7300,0.8112,0.6643
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,SVC,Female,0.8903,0.9126,1.0600,0.6794,0.6794,0.9400,0.8667,0.7300,0.8163,0.6452
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,SVC,Male,1.1232,0.9126,0.9400,1.3206,0.6794,0.9400,0.8667,0.7300,0.8163,0.6452
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,GaussianNB,Female,1.3911,0.8186,1.2000,1.2584,0.7416,0.8000,0.8733,0.7000,0.7541,0.7286
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,GaussianNB,Male,0.7188,0.8186,0.8000,0.7416,0.7416,0.8000,0.8733,0.7000,0.7541,0.7286
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,DecisionTreeClassifier,Female,0.7883,0.8527,0.9400,0.7464,0.7464,0.9400,0.7933,0.6900,0.7704,0.6548
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,DecisionTreeClassifier,Male,1.2685,0.8527,1.0600,1.2536,0.7464,0.9400,0.7933,0.6900,0.7704,0.6548
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,RandomForestClassifier,Female,0.9239,0.9416,1.0100,0.8756,0.8756,0.9900,0.8600,0.7300,0.8138,0.6548
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,RandomForestClassifier,Male,1.0823,0.9416,0.9900,1.1244,0.8756,0.9900,0.8600,0.7300,0.8138,0.6548
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Target,XGBClassifier,Female,1.2647,0.8312,1.2300,1.1244,0.8756,0.7700,0.7767,0.7100,0.7914,0.6595
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Target,XGBClassifier,Male,0.7907,0.8312,0.7700,0.8756,0.8756,0.7700,0.7767,0.7100,0.7914,0.6595
German Credit,Attribute9,Female,Reweighing,Test,1,False,Target,XGBClassifier,Female,0.8744,0.8981,0.9500,0.8756,0.8756,0.9500,0.8600,0.7600,0.8378,0.6762
German Credit,Attribute9,Female,Reweighing,Test,1,False,Target,XGBClassifier,Male,1.1436,0.8981,1.0500,1.1244,0.8756,0.9500,0.8600,0.7600,0.8378,0.6762
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,LogisticRegression,Female,1.1129,0.9182,1.0100,1.3062,0.6938,0.9900,0.8700,0.7300,0.8138,0.6548
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,LogisticRegression,Male,0.8986,0.9182,0.9900,0.6938,0.6938,0.9900,0.8700,0.7300,0.8138,0.6548
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,SVC,Female,1.0202,0.9860,1.0200,1.0718,0.9282,0.9800,0.8733,0.7000,0.7857,0.6429
