dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,SVC,Female,0.8347,0.8658,1.0400,0.5885,0.5885,0.9600,0.8500,0.7500,0.8299,0.6690
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,SVC,Male,1.1981,0.8658,0.9600,1.4115,0.5885,0.9600,0.8500,0.7500,0.8299,0.6690
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,GaussianNB,Female,0.9539,0.9719,1.1700,0.6699,0.6699,0.8300,0.8500,0.7200,0.7846,0.7143
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,GaussianNB,Male,1.0483,0.9719,0.8300,1.3301,0.6699,0.8300,0.8500,0.7200,0.7846,0.7143
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,0.8998,0.9317,1.0800,0.6938,0.6938,0.9200,0.7367,0.6800,0.7647,0.6381
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,1.1114,0.9317,0.9200,1.3062,0.6938,0.9200,0.7367,0.6800,0.7647,0.6381
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Female,0.8903,0.9126,1.1400,0.5502,0.5502,0.8600,0.8367,0.7900,0.8571,0.7167
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Male,1.1232,0.9126,0.8600,1.4498,0.5502,0.8600,0.8367,0.7900,0.8571,0.7167
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,LogisticRegression,Female,0.8200,0.8513,0.8800,0.8756,0.8756,0.8800,0.8800,0.7600,0.8378,0.6762
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,LogisticRegression,Male,1.2195,0.8513,1.1200,1.1244,0.8756,0.8800,0.8800,0.7600,0.8378,0.6762
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,SVC,Female,0.9713,0.9771,1.0000,1.0191,0.9809,1.0000,0.8967,0.7700,0.8456,0.6833
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,SVC,Male,1.0296,0.9771,1.0000,0.9809,0.9809,1.0000,0.8967,0.7700,0.8456,0.6833
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,GaussianNB,Female,0.7577,0.8350,0.8700,0.8517,0.8517,0.8700,0.8467,0.7100,0.7820,0.6881
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,GaussianNB,Male,1.3197,0.8350,1.1300,1.1483,0.8517,0.8700,0.8467,0.7100,0.7820,0.6881
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Female,0.9738,0.9818,0.9400,1.1100,0.8900,0.9400,0.8067,0.6500,0.7482,0.5881
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Male,1.0269,0.9818,1.0600,0.8900,0.8900,0.9400,0.8067,0.6500,0.7482,0.5881
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Female,0.9993,0.9995,1.0500,0.9809,0.9809,0.9500,0.8500,0.7300,0.8085,0.6738
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Male,1.0007,0.9995,0.9500,1.0191,0.9809,0.9500,0.8500,0.7300,0.8085,0.6738
German Credit,Attribute9,Male,Massaging,Validation,1,False,Target,XGBClassifier,Female,0.8903,0.9205,1.1300,0.6172,0.6172,0.8700,0.7667,0.8000,0.8571,0.7619
German Credit,Attribute9,Male,Massaging,Validation,1,False,Target,XGBClassifier,Male,1.1232,0.9205,0.8700,1.3828,0.6172,0.8700,0.7667,0.8000,0.8571,0.7619
German Credit,Attribute9,Male,Massaging,Test,1,False,Target,XGBClassifier,Female,1.0448,0.9682,1.1700,0.8373,0.8373,0.8300,0.8633,0.7400,0.8169,0.6810
German Credit,Attribute9,Male,Massaging,Test,1,False,Target,XGBClassifier,Male,0.9572,0.9682,0.8300,1.1627,0.8373,0.8300,0.8633,0.7400,0.8169,0.6810
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,LogisticRegression,Female,0.7949,0.8336,1.0800,0.3923,0.3923,0.9200,0.8500,0.7200,0.8082,0.6381
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,LogisticRegression,Male,1.2580,0.8336,0.9200,1.6077,0.3923,0.9200,0.8500,0.7200,0.8082,0.6381
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,SVC,Female,0.8347,0.8658,1.0400,0.5885,0.5885,0.9600,0.8500,0.7500,0.8299,0.6690
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,SVC,Male,1.1981,0.8658,0.9600,1.4115,0.5885,0.9600,0.8500,0.7500,0.8299,0.6690
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,GaussianNB,Female,0.9539,0.9719,1.1700,0.6699,0.6699,0.8300,0.8500,0.7200,0.7846,0.7143
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,GaussianNB,Male,1.0483,0.9719,0.8300,1.3301,0.6699,0.8300,0.8500,0.7200,0.7846,0.7143
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,0.8998,0.9317,1.0800,0.6938,0.6938,0.9200,0.7367,0.6800,0.7647,0.6381
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,1.1114,0.9317,0.9200,1.3062,0.6938,0.9200,0.7367,0.6800,0.7647,0.6381
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Female,0.8903,0.9126,1.1400,0.5502,0.5502,0.8600,0.8367,0.7900,0.8571,0.7167
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Male,1.1232,0.9126,0.8600,1.4498,0.5502,0.8600,0.8367,0.7900,0.8571,0.7167
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,LogisticRegression,Female,0.8200,0.8513,0.8800,0.8756,0.8756,0.8800,0.8800,0.7600,0.8378,0.6762
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,LogisticRegression,Male,1.2195,0.8513,1.1200,1.1244,0.8756,0.8800,0.8800,0.7600,0.8378,0.6762
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,SVC,Female,0.9713,0.9771,1.0000,1.0191,0.9809,1.0000,0.8967,0.7700,0.8456,0.6833
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,SVC,Male,1.0296,0.9771,1.0000,0.9809,0.9809,1.0000,0.8967,0.7700,0.8456,0.6833
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,GaussianNB,Female,0.7577,0.8350,0.8700,0.8517,0.8517,0.8700,0.8467,0.7100,0.7820,0.6881
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,GaussianNB,Male,1.3197,0.8350,1.1300,1.1483,0.8517,0.8700,0.8467,0.7100,0.7820,0.6881
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Female,0.9738,0.9818,0.9400,1.1100,0.8900,0.9400,0.8067,0.6500,0.7482,0.5881
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Male,1.0269,0.9818,1.0600,0.8900,0.8900,0.9400,0.8067,0.6500,0.7482,0.5881
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Female,0.9993,0.9995,1.0500,0.9809,0.9809,0.9500,0.8500,0.7300,0.8085,0.6738
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Male,1.0007,0.9995,0.9500,1.0191,0.9809,0.9500,0.8500,0.7300,0.8085,0.6738
German Credit,Attribute9,Male,Massaging,Validation,2,False,Target,XGBClassifier,Female,0.8903,0.9205,1.1300,0.6172,0.6172,0.8700,0.7667,0.8000,0.8571,0.7619
German Credit,Attribute9,Male,Massaging,Validation,2,False,Target,XGBClassifier,Male,1.1232,0.9205,0.8700,1.3828,0.6172,0.8700,0.7667,0.8000,0.8571,0.7619
German Credit,Attribute9,Male,Massaging,Test,2,False,Target,XGBClassifier,Female,1.0448,0.9682,1.1700,0.8373,0.8373,0.8300,0.8633,0.7400,0.8169,0.6810
German Credit,Attribute9,Male,Massaging,Test,2,False,Target,XGBClassifier,Male,0.9572,0.9682,0.8300,1.1627,0.8373,0.8300,0.8633,0.7400,0.8169,0.6810
