genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[1, 0]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[1, 0]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[1, 0]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[1, 0]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[1, 0]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
"[0, 1]",-1,2.288,0.0239,0.0112,0.0177,0.0177,0.0107,0.0
