genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[1, 0]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
"[0, 1]",-1,2.3437,0.0242,0.0077,0.0176,0.0177,0.0079,0.0
